generated_at,aircraft_tracked,aircraft_airborne,incremental_co2_kg,dark_aircraft_flagged
2026-08-09T12:21:16.644468+00:00,10239,9340,18700176.9,0
2026-08-09T12:22:25.501046+00:00,10280,9377,18714116.4,0
2026-08-13T17:44:39.102579+00:00,13339,12232,20849569.4,54
2026-08-13T17:46:41.524952+00:00,13436,12326,21162875.5,1
2026-08-13T17:50:11.772193+00:00,13509,12420,21305450.7,3
2026-08-13T18:02:10.381207+00:00,13383,12221,21227860.9,10
2026-08-13T18:17:22.273803+00:00,13200,12094,20889318.2,4
2026-08-13T18:32:09.610286+00:00,13107,11973,20682986.0,7
2026-08-13T18:47:15.281818+00:00,13001,11856,20238804.6,11
2026-08-13T19:02:09.459788+00:00,12701,11572,19959081.4,17
2026-08-13T19:17:21.975612+00:00,12650,11516,19878177.5,12
2026-08-13T19:32:11.095713+00:00,12629,11460,19751299.5,12
2026-08-13T19:47:14.969799+00:00,12544,11392,19674140.2,3
2026-08-13T20:02:08.607481+00:00,12436,11221,19505747.8,9
2026-08-13T20:17:26.280579+00:00,12291,11061,19609680.2,19
2026-08-13T20:32:09.887509+00:00,12261,11112,19655638.4,12
2026-08-13T20:47:14.767172+00:00,11985,10835,19209252.9,9
2026-08-13T21:02:08.706182+00:00,11677,10540,18779536.3,10
2026-08-13T21:17:23.971719+00:00,11529,10386,18464662.1,8
2026-08-13T21:32:10.155725+00:00,11393,10263,18495922.4,8
2026-08-13T21:47:15.162233+00:00,11135,10055,18116690.8,2
2026-08-13T22:02:10.657109+00:00,11010,9967,17895700.1,2
2026-08-13T22:17:24.066188+00:00,10809,9739,17503666.6,6
2026-08-13T22:32:09.501765+00:00,10622,9568,17323337.2,6
2026-08-13T22:47:22.588554+00:00,10351,9298,16875269.0,3
2026-08-13T23:02:09.602778+00:00,10027,8979,16532811.9,4
2026-08-13T23:17:24.376877+00:00,9787,8732,16090652.8,10
2026-08-13T23:32:17.490358+00:00,9628,8680,16149661.9,8
2026-08-13T23:47:15.863916+00:00,9646,8622,16300883.7,4
2026-08-14T00:02:08.986681+00:00,9356,8324,15920364.4,4
2026-08-14T00:17:23.164744+00:00,9164,8203,15795702.4,10
2026-08-14T00:32:18.474739+00:00,8964,8064,15588983.1,11
2026-08-14T00:47:14.602358+00:00,8826,7930,15278833.0,8
2026-08-14T01:02:08.771572+00:00,8674,7757,15143008.3,13
2026-08-14T01:17:23.567129+00:00,8576,7642,15002491.0,9
2026-08-14T01:32:10.158504+00:00,8409,7447,14773027.6,9
2026-08-14T01:47:15.105475+00:00,8128,7232,14511253.2,9
2026-08-14T02:02:10.675056+00:00,8053,7192,14592169.0,17
2026-08-14T02:17:24.679492+00:00,7999,7139,14788495.8,9
2026-08-14T02:32:10.066403+00:00,7892,7048,14672117.0,9
2026-08-14T02:47:15.376112+00:00,7746,6831,14430329.6,10
2026-08-14T03:02:09.082086+00:00,7523,6658,14241705.2,9
2026-08-14T03:17:25.364003+00:00,7239,6452,13946608.6,13
2026-08-14T03:32:09.695134+00:00,7003,6188,13576497.6,12
2026-08-14T03:47:14.768723+00:00,6821,5999,13324404.6,8
2026-08-14T04:02:08.985058+00:00,6754,5921,13259249.4,7
2026-08-14T04:17:23.167795+00:00,6814,6096,13671088.2,12
